Name,Category,Cuisine,lat,lng
Asia Street Food Club,restaurant,N/A,3.1414748,101.6979021
Nasi Ayam Kam Kee,restaurant,malaysian,3.1430781,101.6985707
Coconut Hub,cafe,N/A,3.1429806,101.6985783
Pau Goreng Lembu Hai Kee,restaurant,N/A,3.1429582,101.6985778
China  Town Seng Kee,restaurant,chinese,3.1433454,101.6985658
Neighbour Club,restaurant,N/A,3.1439265,101.6985639
Blackbyrd KL,restaurant,fusion,3.1547785,101.7185385
Beauty In The Pot,restaurant,chinese;hotpot,3.1192049,101.6756997
Domino's,fast_food,pizza,3.1751886,101.7347940
SSTWO Kopitiam,restaurant,chinese,3.1115314,101.6112266
Nobu,restaurant,sushi,3.1565740,101.7112694
Ipoh Road Yong Tow Foo,restaurant,chinese,3.1116676,101.6115086
Pizza Hut Express,fast_food,pizza,1.3592773,103.7520673
JM Bariani House,restaurant,N/A,3.0646824,101.5857942
KFC,fast_food,chicken,3.0069043,101.5693396
Texas Chicken,fast_food,chicken,3.2179322,101.7186430
Sate Kajang Retro,restaurant,N/A,3.0478201,101.5926201
KFC,fast_food,chicken,3.0302778,101.5837345
Restoran Seri Badar,restaurant,N/A,3.0383841,101.5884579
McDonald's,fast_food,burger,3.1612386,101.7200459
Medifoods,cafe,N/A,3.1112813,101.6669854
Tedboy,cafe,N/A,3.1118724,101.6672373
Ayam Penyet Best Station,restaurant,N/A,3.1118647,101.6681588
ZUS Coffee,cafe,coffee_shop,3.1118589,101.6683486
